,mean,std
LotFrontage,57.06946564885496,33.34825
LotArea,10528.174045801527,10313.03905
Street,1.9961832061068703,0.06166
LotShape,3.601526717557252,0.56891
Utilities,3.998473282442748,0.05524
LandSlope,2.93587786259542,0.28259
OverallQual,6.091603053435114,1.36896
OverallCond,5.574045801526718,1.12512
YearBuilt,1971.0557251908397,30.31548
YearRemodAdd,1984.8725190839696,20.61808
MasVnrArea,99.62824427480916,176.06347
ExterQual,3.3938931297709924,0.57076
ExterCond,3.0824427480916032,0.35068
BsmtQual,3.482442748091603,0.88546
BsmtExposure,0.6526717557251909,1.03561
BsmtFinType1,3.5114503816793894,2.11273
BsmtFinSF1,430.32824427480915,430.38273
BsmtFinType2,1.251908396946565,0.9075
BsmtFinSF2,47.07251908396947,162.63236
BsmtUnfSF,571.5244274809161,442.38968
TotalBsmtSF,1048.9251908396946,417.15391
HeatingQC,4.133587786259542,0.96251
1stFlrSF,1153.6198473282443,371.42603
2ndFlrSF,347.76335877862596,430.99131
LowQualFinSF,6.4526717557251905,51.23141
GrLivArea,1507.8358778625955,497.10088
BsmtFullBath,0.4198473282442748,0.51916
BsmtHalfBath,0.05419847328244275,0.23305
FullBath,1.5625954198473282,0.54867
HalfBath,0.38702290076335877,0.50553
BedroomAbvGr,2.8717557251908397,0.81889
KitchenAbvGr,1.048854961832061,0.22594
KitchenQual,3.499236641221374,0.65586
TotRmsAbvGrd,6.515267175572519,1.61226
Functional,7.82824427480916,0.69916
Fireplaces,0.6045801526717557,0.64155
FireplaceQu,1.8053435114503817,1.80993
GarageYrBlt,1978.4870229007633,24.1359
GarageCars,1.7603053435114504,0.74789
GarageArea,469.4358778625954,213.46683
GarageQual,2.7977099236641223,0.7338
GarageCond,2.8,0.73078
PavedDrive,1.8473282442748091,0.51204
WoodDeckSF,92.84885496183206,124.30711
OpenPorchSF,47.354198473282445,66.94013
EnclosedPorch,22.606870229007633,62.35043
3SsnPorch,2.8229007633587786,26.18529
ScreenPorch,14.96412213740458,54.45708
PoolArea,1.448854961832061,30.56643
PoolQC,0.0061068702290076335,0.14075
MiscVal,44.57557251908397,518.60336
YrSold,2007.848854961832,1.3331
MSSubClass_SC120,0.05801526717557252,0.23377
MSSubClass_SC160,0.0450381679389313,0.20739
MSSubClass_SC180,0.0061068702290076335,0.07791
MSSubClass_SC190,0.022137404580152672,0.14713
MSSubClass_SC20,0.3656488549618321,0.48161
MSSubClass_SC30,0.04732824427480916,0.21234
MSSubClass_SC40,0.0030534351145038168,0.05517
MSSubClass_SC45,0.007633587786259542,0.08704
MSSubClass_SC50,0.10152671755725191,0.30202
MSSubClass_SC60,0.20229007633587787,0.40171
MSSubClass_SC70,0.04198473282442748,0.20055
MSSubClass_SC75,0.012213740458015267,0.10984
MSSubClass_SC80,0.035114503816793895,0.18407
MSSubClass_SC85,0.015267175572519083,0.12261
MSSubClass_SC90,0.0366412213740458,0.18788
MSZoning_C (all),0.007633587786259542,0.08704
MSZoning_FV,0.04732824427480916,0.21234
MSZoning_RH,0.009923664122137405,0.09912
MSZoning_RL,0.7801526717557252,0.41414
MSZoning_RM,0.1549618320610687,0.36187
Alley_1,0.03358778625954199,0.18017
Alley_2,0.02900763358778626,0.16783
Alley_None,0.9374045801526718,0.24223
LandContour_Bnk,0.04122137404580153,0.1988
LandContour_HLS,0.030534351145038167,0.17205
LandContour_Low,0.025954198473282442,0.159
LandContour_Lvl,0.9022900763358779,0.29692
LotConfig_Corner,0.17022900763358778,0.37583
LotConfig_CulDSac,0.06412213740458016,0.24497
LotConfig_FR2,0.03358778625954199,0.18017
LotConfig_FR3,0.0022900763358778627,0.0478
LotConfig_Inside,0.7297709923664122,0.44408
Neighborhood_Blmngtn,0.009923664122137405,0.09912
Neighborhood_Blueste,0.0015267175572519084,0.03904
Neighborhood_BrDale,0.011450381679389313,0.10639
Neighborhood_BrkSide,0.03969465648854962,0.19524
Neighborhood_ClearCr,0.021374045801526718,0.14463
Neighborhood_CollgCr,0.10687022900763359,0.30895
Neighborhood_Crawfor,0.03282442748091603,0.17818
Neighborhood_Edwards,0.0648854961832061,0.24632
Neighborhood_Gilbert,0.05419847328244275,0.22641
Neighborhood_IDOTRR,0.026717557251908396,0.16126
Neighborhood_MeadowV,0.012213740458015267,0.10984
Neighborhood_Mitchel,0.035114503816793895,0.18407
Neighborhood_NAmes,0.15114503816793892,0.35819
Neighborhood_NPkVill,0.0061068702290076335,0.07791
Neighborhood_NWAmes,0.050381679389312976,0.21873
Neighborhood_NoRidge,0.02366412213740458,0.152
Neighborhood_NridgHt,0.05267175572519084,0.22338
Neighborhood_OldTown,0.07938931297709924,0.27035
Neighborhood_SWISU,0.017557251908396947,0.13134
Neighborhood_Sawyer,0.050381679389312976,0.21873
Neighborhood_SawyerW,0.03969465648854962,0.19524
Neighborhood_Somerst,0.0633587786259542,0.24361
Neighborhood_StoneBr,0.017557251908396947,0.13134
Neighborhood_Timber,0.02366412213740458,0.152
Neighborhood_Veenker,0.007633587786259542,0.08704
Condition1_Artery,0.029770992366412213,0.16995
Condition1_Feedr,0.05877862595419847,0.23521
Condition1_Norm,0.8618320610687022,0.34508
Condition1_PosA,0.0061068702290076335,0.07791
Condition1_PosN,0.012977099236641221,0.11318
Condition1_RRAe,0.008396946564885497,0.09125
Condition1_RRAn,0.017557251908396947,0.13134
Condition1_RRNe,0.0015267175572519084,0.03904
Condition1_RRNn,0.0030534351145038168,0.05517
Condition2_Artery,0.0007633587786259542,0.02762
Condition2_Feedr,0.003816793893129771,0.06166
Condition2_Norm,0.9908396946564886,0.09527
Condition2_PosA,0.0007633587786259542,0.02762
Condition2_PosN,0.0007633587786259542,0.02762
Condition2_RRAe,0.0007633587786259542,0.02762
Condition2_RRAn,0.0007633587786259542,0.02762
Condition2_RRNn,0.0015267175572519084,0.03904
BldgType_1Fam,0.833587786259542,0.37245
BldgType_2fmCon,0.022900763358778626,0.14959
BldgType_Duplex,0.0366412213740458,0.18788
BldgType_Twnhs,0.031297709923664124,0.17412
BldgType_TwnhsE,0.07557251908396946,0.26431
HouseStyle_1.5Fin,0.10916030534351145,0.31184
HouseStyle_1.5Unf,0.008396946564885497,0.09125
HouseStyle_1Story,0.4954198473282443,0.49998
HouseStyle_2.5Fin,0.0061068702290076335,0.07791
HouseStyle_2.5Unf,0.008396946564885497,0.09125
HouseStyle_2Story,0.3061068702290076,0.46087
HouseStyle_SFoyer,0.026717557251908396,0.16126
HouseStyle_SLvl,0.03969465648854962,0.19524
RoofStyle_Flat,0.009923664122137405,0.09912
RoofStyle_Gable,0.7824427480916031,0.41258
RoofStyle_Gambrel,0.008396946564885497,0.09125
RoofStyle_Hip,0.19236641221374046,0.39416
RoofStyle_Mansard,0.0053435114503816794,0.0729
RoofStyle_Shed,0.0015267175572519084,0.03904
RoofMatl_CompShg,0.981679389312977,0.13411
RoofMatl_Membran,0.0007633587786259542,0.02762
RoofMatl_Metal,0.0007633587786259542,0.02762
RoofMatl_Roll,0.0007633587786259542,0.02762
RoofMatl_Tar&Grv,0.008396946564885497,0.09125
RoofMatl_WdShake,0.003816793893129771,0.06166
RoofMatl_WdShngl,0.003816793893129771,0.06166
Exterior1st_AsbShng,0.013740458015267175,0.11641
Exterior1st_AsphShn,0.0007633587786259542,0.02762
Exterior1st_BrkComm,0.0015267175572519084,0.03904
Exterior1st_BrkFace,0.035114503816793895,0.18407
Exterior1st_CBlock,0.0007633587786259542,0.02762
Exterior1st_CemntBd,0.044274809160305344,0.20571
Exterior1st_HdBoard,0.1534351145038168,0.36041
Exterior1st_ImStucc,0.0007633587786259542,0.02762
Exterior1st_MetalSd,0.14274809160305343,0.34982
Exterior1st_Plywood,0.07557251908396946,0.26431
Exterior1st_Stone,0.0015267175572519084,0.03904
Exterior1st_Stucco,0.01603053435114504,0.12559
Exterior1st_VinylSd,0.3526717557251908,0.4778
Exterior1st_Wd Sdng,0.14427480916030536,0.35137
Exterior1st_WdShing,0.016793893129770993,0.1285
Exterior2nd_AsbShng,0.01450381679389313,0.11956
Exterior2nd_AsphShn,0.0022900763358778627,0.0478
Exterior2nd_Brk Cmn,0.004580152671755725,0.06752
Exterior2nd_BrkFace,0.0183206106870229,0.13411
Exterior2nd_CBlock,0.0007633587786259542,0.02762
Exterior2nd_CmentBd,0.042748091603053436,0.20229
Exterior2nd_HdBoard,0.1435114503816794,0.35059
Exterior2nd_ImStucc,0.0061068702290076335,0.07791
Exterior2nd_MetalSd,0.13816793893129772,0.34508
Exterior2nd_Other,0.0007633587786259542,0.02762
Exterior2nd_Plywood,0.0984732824427481,0.29795
Exterior2nd_Stone,0.003816793893129771,0.06166
Exterior2nd_Stucco,0.017557251908396947,0.13134
Exterior2nd_VinylSd,0.34427480916030534,0.47513
Exterior2nd_Wd Sdng,0.13816793893129772,0.34508
Exterior2nd_Wd Shng,0.025954198473282442,0.159
MasVnrType_BrkCmn,0.009923664122137405,0.09912
MasVnrType_BrkFace,0.29465648854961835,0.45589
MasVnrType_None,0.6053435114503817,0.48878
MasVnrType_Stone,0.0900763358778626,0.28629
Foundation_BrkTil,0.10458015267175573,0.30601
Foundation_CBlock,0.43206106870229005,0.49536
Foundation_PConc,0.4396946564885496,0.49635
Foundation_Slab,0.0183206106870229,0.13411
Foundation_Stone,0.004580152671755725,0.06752
Foundation_Wood,0.0007633587786259542,0.02762
BsmtCond_0,0.02748091603053435,0.16348
BsmtCond_1,0.0015267175572519084,0.03904
BsmtCond_2,0.031297709923664124,0.17412
BsmtCond_3,0.8969465648854962,0.30403
BsmtCond_4,0.042748091603053436,0.20229
Heating_Floor,0.0007633587786259542,0.02762
Heating_GasA,0.9755725190839695,0.15437
Heating_GasW,0.013740458015267175,0.11641
Heating_Grav,0.0053435114503816794,0.0729
Heating_OthW,0.0015267175572519084,0.03904
Heating_Wall,0.0030534351145038168,0.05517
CentralAir_N,0.06946564885496183,0.25424
CentralAir_Y,0.9305343511450381,0.25424
Electrical_FuseA,0.06870229007633588,0.25295
Electrical_FuseF,0.0183206106870229,0.13411
Electrical_FuseP,0.0022900763358778627,0.0478
Electrical_Mix,0.0007633587786259542,0.02762
Electrical_SBrkr,0.9091603053435114,0.28738
GarageType_2Types,0.004580152671755725,0.06752
GarageType_Attchd,0.5900763358778626,0.49182
GarageType_Basment,0.011450381679389313,0.10639
GarageType_BuiltIn,0.061068702290076333,0.23946
GarageType_CarPort,0.0061068702290076335,0.07791
GarageType_Detchd,0.2687022900763359,0.44328
GarageType_No,0.05801526717557252,0.23377
GarageFinish_Fin,0.23511450381679388,0.42407
GarageFinish_No,0.05801526717557252,0.23377
GarageFinish_RFn,0.2900763358778626,0.4538
GarageFinish_Unf,0.416793893129771,0.49303
Fence_GdPrv,0.04122137404580153,0.1988
Fence_GdWo,0.03816793893129771,0.1916
Fence_MnPrv,0.10305343511450382,0.30403
Fence_MnWw,0.007633587786259542,0.08704
Fence_No,0.8099236641221375,0.39236
MiscFeature_Gar2,0.0015267175572519084,0.03904
MiscFeature_No,0.9625954198473282,0.18975
MiscFeature_Othr,0.0015267175572519084,0.03904
MiscFeature_Shed,0.03435114503816794,0.18213
MiscFeature_TenC,0.0,1.0
MoSold_Apr,0.09694656488549619,0.29588
MoSold_Aug,0.08091603053435115,0.27271
MoSold_Dec,0.04198473282442748,0.20055
MoSold_Feb,0.03587786259541985,0.18599
MoSold_Jan,0.03816793893129771,0.1916
MoSold_Jul,0.15801526717557252,0.36476
MoSold_Jun,0.17404580152671756,0.37915
MoSold_Mar,0.07251908396946564,0.25935
MoSold_May,0.1435114503816794,0.35059
MoSold_Nov,0.0549618320610687,0.22791
MoSold_Oct,0.05877862595419847,0.23521
MoSold_Sep,0.044274809160305344,0.20571
SaleType_COD,0.026717557251908396,0.16126
SaleType_CWD,0.0015267175572519084,0.03904
SaleType_Con,0.0015267175572519084,0.03904
SaleType_ConLD,0.006870229007633588,0.0826
SaleType_ConLI,0.003816793893129771,0.06166
SaleType_ConLw,0.003816793893129771,0.06166
SaleType_New,0.08396946564885496,0.27734
SaleType_Oth,0.0022900763358778627,0.0478
SaleType_WD,0.8694656488549618,0.33689
SaleCondition_Abnorml,0.06946564885496183,0.25424
SaleCondition_AdjLand,0.0030534351145038168,0.05517
SaleCondition_Alloca,0.008396946564885497,0.09125
SaleCondition_Family,0.012977099236641221,0.11318
SaleCondition_Normal,0.8206106870229007,0.38368
SaleCondition_Partial,0.08549618320610687,0.27962
